user_id,total_orders,total_spending,avg_order_value,total_items,first_order_date,last_order_date,recency_days,order_frequency,age,gender,occupation,monthly_income,family_size
26,1,6940,6940.0,8,2018-04-04,2018-04-04,815,1.0,25,Male,Student,No Income,3
28,2,695,347.5,3,2019-08-05,2020-02-10,138,0.010582010582010581,22,Male,Student,No Income,3
29,2,1704,852.0,7,2019-06-27,2019-08-20,312,0.037037037037037035,23,Female,Employee,10001 to 25000,3
30,3,4374,1458.0,18,2017-12-19,2019-09-09,292,0.0047694753577106515,22,Male,Student,Below Rs.10000,4
31,3,982,327.3333333333333,6,2018-07-16,2019-09-13,288,0.007075471698113208,22,Female,Employee,10001 to 25000,5
32,1,894,894.0,1,2020-04-24,2020-04-24,64,1.0,22,Male,Student,No Income,4
36,3,602898,200966.0,435,2018-01-24,2019-08-15,317,0.00528169014084507,25,Male,Student,10001 to 25000,3
37,3,13194,4398.0,15,2018-03-06,2019-08-06,326,0.005791505791505791,25,Male,Student,No Income,5
38,1,46,46.0,1,2020-04-16,2020-04-16,72,1.0,32,Female,House wife,No Income,5
39,3,5713,1904.3333333333333,29,2017-10-09,2018-04-20,799,0.015544041450777202,23,Female,Student,No Income,3
41,2,104343,52171.5,38,2018-03-09,2019-07-03,360,0.004158004158004158,30,Male,Self Employeed,More than 50000,4
45,1,162,162.0,1,2017-11-27,2017-11-27,943,1.0,22,Male,Student,No Income,5
47,1,7343,7343.0,154,2018-11-08,2018-11-08,597,1.0,24,Female,Student,No Income,3
48,1,9380,9380.0,37,2019-08-06,2019-08-06,326,1.0,23,Male,Student,No Income,2
49,1,171,171.0,1,2018-01-18,2018-01-18,891,1.0,23,Female,Student,No Income,3
51,3,4926,1642.0,9,2019-01-02,2020-01-20,159,0.007832898172323759,23,Female,Student,No Income,5
52,1,6310,6310.0,7,2018-03-21,2018-03-21,829,1.0,23,Female,Student,No Income,2
56,1,130,130.0,1,2017-10-12,2017-10-12,989,1.0,28,Female,Student,No Income,2
57,1,162,162.0,1,2018-01-29,2018-01-29,880,1.0,22,Female,Student,No Income,1
58,2,412,206.0,2,2018-09-10,2020-04-14,74,0.003436426116838488,24,Female,Student,No Income,3
59,3,4333,1444.3333333333333,45,2018-08-13,2020-06-10,17,0.004497751124437781,31,Male,Employee,More than 50000,5
60,1,2671,2671.0,2,2020-01-09,2020-01-09,170,1.0,25,Male,Student,No Income,4
61,2,208,104.0,2,2018-06-18,2019-03-19,466,0.0072992700729927005,23,Male,Student,No Income,5
62,1,185,185.0,1,2017-10-06,2017-10-06,995,1.0,22,Male,Student,No Income,3
63,2,135,67.5,2,2018-07-27,2019-07-08,355,0.005780346820809248,23,Male,Student,25001 to 50000,1
66,2,16278,8139.0,15,2018-01-15,2018-07-12,716,0.011235955056179775,25,Male,Student,No Income,6
67,2,847,423.5,2,2019-02-05,2020-01-22,157,0.005698005698005698,24,Male,Employee,10001 to 25000,4
68,3,8500,2833.3333333333335,9,2018-02-27,2019-01-10,534,0.00946372239747634,23,Female,Student,No Income,4
69,1,116,116.0,1,2019-12-06,2019-12-06,204,1.0,23,Female,Student,No Income,4
70,2,85070,42535.0,67,2017-10-17,2019-04-03,451,0.00375234521575985,24,Female,Employee,More than 50000,4
71,1,588,588.0,1,2019-08-07,2019-08-07,325,1.0,22,Male,Student,No Income,4
72,1,431,431.0,1,2018-10-22,2018-10-22,614,1.0,24,Female,Student,10001 to 25000,3
73,1,287,287.0,1,2020-04-09,2020-04-09,79,1.0,25,Female,Student,No Income,3
75,1,1292,1292.0,5,2018-01-24,2018-01-24,885,1.0,26,Male,Student,No Income,4
76,1,1468,1468.0,1,2018-05-09,2018-05-09,780,1.0,24,Female,Student,25001 to 50000,3
77,1,4454,4454.0,2,2017-11-13,2017-11-13,957,1.0,26,Male,Student,No Income,4
79,4,13060,3265.0,13,2017-12-11,2019-10-15,256,0.005943536404160475,22,Female,Student,No Income,3
80,2,565,282.5,2,2018-11-06,2018-12-05,570,0.06896551724137931,24,Male,Student,No Income,5
82,3,21453,7151.0,269,2018-02-27,2020-03-10,109,0.004043126684636119,23,Female,Student,No Income,3
83,2,343,171.5,2,2018-07-18,2019-07-05,358,0.005681818181818182,23,Male,Student,No Income,3
84,2,547,273.5,2,2018-04-12,2020-05-20,38,0.002600780234070221,22,Male,Student,No Income,3
85,3,366,122.0,3,2018-06-07,2019-07-03,360,0.0076726342710997444,23,Male,Student,No Income,3
87,4,3333,833.25,76,2017-12-20,2019-06-06,387,0.0075046904315197,24,Male,Student,No Income,5
89,2,8537,4268.5,47,2019-11-07,2020-06-12,15,0.009174311926605505,25,Male,Student,No Income,5
90,2,44385,22192.5,22,2017-11-24,2017-12-14,926,0.1,28,Male,Self Employeed,10001 to 25000,2
91,2,5732,2866.0,11,2018-04-16,2019-11-19,221,0.003436426116838488,27,Female,Employee,25001 to 50000,5
92,1,162,162.0,1,2018-06-19,2018-06-19,739,1.0,26,Male,Self Employeed,10001 to 25000,1
93,3,35287,11762.333333333334,42,2017-11-08,2018-11-05,600,0.008287292817679558,22,Male,Student,No Income,2
94,2,328,164.0,2,2017-11-03,2019-03-02,483,0.004132231404958678,24,Female,Student,No Income,3
97,4,102227,25556.75,55,2017-11-28,2019-10-25,246,0.005747126436781609,23,Female,Student,No Income,5
98,1,745,745.0,1,2020-05-05,2020-05-05,53,1.0,23,Female,Student,No Income,5
99,2,1885,942.5,5,2017-10-20,2018-06-12,746,0.00851063829787234,26,Male,Employee,25001 to 50000,5
101,3,4704,1568.0,7,2017-12-01,2020-04-27,61,0.003416856492027335,24,Female,Student,10001 to 25000,3
102,3,5380,1793.3333333333333,21,2017-10-23,2018-10-08,628,0.008571428571428572,23,Male,Student,No Income,2
103,2,107,53.5,2,2018-04-11,2018-10-10,626,0.01098901098901099,22,Female,Employee,10001 to 25000,3
104,3,67653,22551.0,491,2018-07-13,2019-08-16,316,0.007518796992481203,24,Female,Student,No Income,3
107,1,227,227.0,1,2018-09-17,2018-09-17,649,1.0,26,Male,Employee,More than 50000,2
109,1,292,292.0,3,2019-11-11,2019-11-11,229,1.0,25,Male,Employee,Below Rs.10000,2
110,5,9149,1829.8,164,2017-11-16,2019-05-07,417,0.00931098696461825,18,Male,Student,No Income,5
111,1,176,176.0,1,2018-07-06,2018-07-06,722,1.0,21,Male,Student,No Income,4
112,1,292,292.0,1,2018-12-19,2018-12-19,556,1.0,25,Male,Student,No Income,1
113,2,10546,5273.0,25,2018-03-28,2019-07-03,360,0.004329004329004329,25,Male,Student,Below Rs.10000,2
115,1,782,782.0,1,2019-03-29,2019-03-29,456,1.0,23,Male,Employee,10001 to 25000,2
116,1,29356,29356.0,20,2018-06-08,2018-06-08,750,1.0,25,Female,Employee,25001 to 50000,4
117,1,69,69.0,1,2018-12-20,2018-12-20,555,1.0,31,Female,House wife,No Income,5
118,1,222,222.0,1,2018-10-23,2018-10-23,613,1.0,24,Male,Self Employeed,More than 50000,2
119,2,104472,52236.0,295,2018-01-15,2019-11-07,233,0.0030257186081694403,32,Female,Employee,25001 to 50000,5
122,4,1028,257.0,4,2017-12-22,2020-05-05,53,0.004624277456647399,26,Male,Self Employeed,25001 to 50000,3
123,3,7380,2460.0,24,2018-02-21,2020-04-17,71,0.003816793893129771,26,Female,Self Employeed,25001 to 50000,3
124,1,296,296.0,2,2018-09-18,2018-09-18,648,1.0,32,Male,Employee,More than 50000,5
125,1,1130,1130.0,3,2018-06-13,2018-06-13,745,1.0,24,Male,Self Employeed,More than 50000,6
126,3,74001,24667.0,79,2017-11-27,2018-10-16,620,0.009287925696594427,27,Female,Self Employeed,25001 to 50000,3
127,2,505,252.5,2,2018-08-01,2020-05-19,39,0.0030441400304414,23,Male,Student,No Income,3
128,2,6861,3430.5,4,2019-06-07,2019-06-13,380,0.3333333333333333,25,Male,Student,No Income,4
129,3,2681,893.6666666666666,4,2018-02-14,2020-05-06,52,0.003694581280788177,23,Male,Student,No Income,3
130,4,1763,440.75,6,2017-11-17,2018-12-14,561,0.01020408163265306,23,Female,Student,No Income,4
131,3,36249,12083.0,35,2018-02-08,2019-12-13,197,0.004457652303120356,28,Male,Employee,More than 50000,3
132,2,333,166.5,2,2018-02-14,2019-12-06,204,0.0030303030303030303,32,Female,Employee,More than 50000,1
133,1,56,56.0,1,2018-11-30,2018-11-30,575,1.0,23,Male,Student,No Income,2
134,1,1264,1264.0,7,2018-01-30,2018-01-30,879,1.0,19,Male,Student,No Income,2
135,1,667,667.0,1,2019-04-12,2019-04-12,442,1.0,19,Female,Student,No Income,4
136,1,74,74.0,1,2018-03-08,2018-03-08,842,1.0,27,Female,Employee,25001 to 50000,2
137,2,2176,1088.0,4,2018-06-15,2020-01-16,163,0.0034482758620689655,25,Male,Self Employeed,25001 to 50000,3
139,2,1213,606.5,2,2018-05-25,2020-02-04,144,0.0032258064516129032,26,Female,Employee,More than 50000,3
140,1,10231,10231.0,113,2018-02-15,2018-02-15,863,1.0,22,Female,Student,Below Rs.10000,4
141,2,283,141.5,2,2017-10-30,2018-05-30,759,0.009433962264150943,23,Male,Student,No Income,3
142,2,352,176.0,2,2017-11-21,2018-06-13,745,0.00980392156862745,22,Female,Student,No Income,3
143,3,4287,1429.0,16,2018-01-15,2020-02-21,127,0.003911342894393742,25,Male,Employee,25001 to 50000,2
144,2,1277,638.5,3,2019-06-21,2020-04-03,85,0.006968641114982578,30,Female,House wife,No Income,5
145,2,35699,17849.5,28,2019-12-19,2020-03-17,102,0.02247191011235955,24,Male,Student,No Income,3
147,1,34611,34611.0,40,2019-03-21,2019-03-21,464,1.0,23,Male,Student,More than 50000,3
148,1,102,102.0,1,2019-01-25,2019-01-25,519,1.0,24,Female,Student,No Income,4
149,3,8611,2870.3333333333335,21,2019-03-22,2019-12-16,194,0.011152416356877323,32,Male,Employee,10001 to 25000,4
150,1,17602,17602.0,7,2019-01-30,2019-01-30,514,1.0,22,Male,Student,No Income,4
152,1,500,500.0,1,2018-06-13,2018-06-13,745,1.0,23,Female,Student,No Income,4
154,2,54541,27270.5,54,2019-10-25,2020-04-24,64,0.01098901098901099,21,Male,Student,No Income,2
155,2,19643,9821.5,14,2019-02-13,2019-12-30,180,0.00625,24,Female,Self Employeed,10001 to 25000,5
156,3,1532,510.6666666666667,10,2018-03-19,2018-09-14,652,0.01675977653631285,23,Female,Student,No Income,4
157,2,46245,23122.5,155,2018-11-13,2019-11-13,227,0.005479452054794521,25,Male,Employee,25001 to 50000,3
158,1,352,352.0,2,2019-08-19,2019-08-19,313,1.0,32,Female,House wife,No Income,3
159,3,12301,4100.333333333333,12,2018-09-28,2019-04-05,449,0.015873015873015872,27,Male,Employee,More than 50000,5
160,1,829,829.0,1,2018-11-13,2018-11-13,592,1.0,20,Female,Student,No Income,2
161,2,620,310.0,2,2018-11-16,2019-11-19,221,0.005434782608695652,21,Male,Student,No Income,2
162,1,181,181.0,1,2019-05-21,2019-05-21,403,1.0,26,Male,Employee,More than 50000,3
163,2,1861,930.5,3,2018-01-23,2019-11-15,225,0.0030257186081694403,25,Male,Employee,10001 to 25000,4
164,1,1861,1861.0,12,2019-08-01,2019-08-01,331,1.0,26,Male,Employee,25001 to 50000,3
165,2,607,303.5,2,2017-12-08,2017-12-22,918,0.14285714285714285,26,Female,Employee,25001 to 50000,3
166,3,5736,1912.0,23,2018-03-20,2019-02-14,499,0.00906344410876133,27,Male,Employee,More than 50000,4
167,2,857,428.5,2,2018-03-02,2018-12-04,571,0.007220216606498195,27,Female,Student,No Income,5
168,2,12740,6370.0,6,2018-09-05,2020-06-02,25,0.0031446540880503146,24,Female,Student,No Income,5
169,4,1583,395.75,4,2017-12-04,2019-12-05,205,0.005471956224350205,25,Male,Self Employeed,More than 50000,2
170,3,3860,1286.6666666666667,38,2018-06-19,2019-08-19,313,0.007042253521126761,20,Male,Student,No Income,2
172,2,694,347.0,3,2018-12-07,2019-02-13,500,0.029411764705882353,26,Female,Student,Below Rs.10000,3
175,7,66380,9482.857142857143,302,2018-11-14,2020-01-10,169,0.016587677725118485,24,Male,Employee,Below Rs.10000,2
176,2,8232,4116.0,20,2018-02-21,2020-05-04,54,0.0024906600249066002,23,Female,Employee,10001 to 25000,6
178,2,477,238.5,2,2020-06-03,2020-06-08,19,0.4,26,Male,Self Employeed,More than 50000,3
179,1,218,218.0,1,2018-06-21,2018-06-21,737,1.0,26,Male,Employee,Below Rs.10000,1
180,1,6130,6130.0,39,2018-05-08,2018-05-08,781,1.0,25,Female,Self Employeed,25001 to 50000,3
181,3,413652,137884.0,276,2018-11-16,2020-04-14,74,0.005825242718446602,29,Female,Employee,More than 50000,3
182,1,13889,13889.0,40,2019-12-06,2019-12-06,204,1.0,23,Male,Student,Below Rs.10000,3
183,1,69,69.0,1,2018-12-07,2018-12-07,568,1.0,22,Female,Employee,25001 to 50000,4
184,3,6528,2176.0,13,2017-12-20,2019-11-27,213,0.004243281471004243,22,Male,Student,No Income,2
185,1,69,69.0,1,2017-11-09,2017-11-09,961,1.0,32,Female,House wife,No Income,5
186,2,1889,944.5,22,2019-09-27,2019-11-25,215,0.03389830508474576,28,Male,Employee,More than 50000,1
188,2,13158,6579.0,31,2018-03-20,2018-08-08,689,0.014184397163120567,25,Male,Employee,10001 to 25000,2
189,3,458,152.66666666666666,6,2017-12-21,2019-12-18,192,0.0041265474552957355,26,Female,Employee,25001 to 50000,2
190,1,1875,1875.0,2,2020-04-08,2020-04-08,80,1.0,31,Male,Self Employeed,More than 50000,6
191,2,7708,3854.0,46,2017-10-13,2018-09-27,639,0.0057306590257879654,24,Male,Student,No Income,3
192,2,40093,20046.5,187,2018-05-14,2018-05-18,771,0.5,24,Male,Employee,25001 to 50000,2
193,3,11459,3819.6666666666665,89,2019-05-22,2020-03-02,117,0.010526315789473684,31,Female,Employee,More than 50000,5
195,4,1426,356.5,5,2018-01-24,2019-04-11,443,0.00904977375565611,24,Female,Self Employeed,More than 50000,2
196,1,556,556.0,1,2017-12-19,2017-12-19,921,1.0,22,Female,Student,No Income,3
199,1,222,222.0,1,2018-03-19,2018-03-19,831,1.0,23,Female,House wife,No Income,6
200,1,153,153.0,1,2017-12-13,2017-12-13,927,1.0,23,Female,Student,No Income,2
201,1,28269,28269.0,13,2019-11-15,2019-11-15,225,1.0,23,Male,Student,No Income,2
202,2,3102,1551.0,6,2018-03-13,2019-01-14,530,0.006514657980456026,24,Male,Student,No Income,5
203,2,1032,516.0,4,2019-03-21,2020-02-07,141,0.006191950464396285,22,Female,Employee,25001 to 50000,4
204,1,181,181.0,1,2020-03-12,2020-03-12,107,1.0,26,Male,Employee,More than 50000,4
206,1,222,222.0,1,2018-08-30,2018-08-30,667,1.0,20,Male,Student,No Income,2
207,1,60,60.0,1,2018-01-01,2018-01-01,908,1.0,29,Male,Employee,25001 to 50000,4
208,3,866,288.6666666666667,8,2017-12-01,2019-06-07,386,0.0054249547920434,23,Female,Student,No Income,1
209,2,547,273.5,5,2018-09-18,2019-08-19,313,0.005970149253731343,25,Male,Self Employeed,More than 50000,2
210,1,7759,7759.0,42,2020-02-24,2020-02-24,124,1.0,29,Female,Employee,25001 to 50000,4
212,2,11556,5778.0,49,2018-08-10,2019-05-21,403,0.007042253521126761,25,Male,Self Employeed,10001 to 25000,3
213,1,199,199.0,1,2018-09-27,2018-09-27,639,1.0,21,Male,Student,No Income,2
214,4,4676,1169.0,20,2018-03-09,2019-11-27,213,0.006369426751592357,23,Male,Student,No Income,3
215,4,41921,10480.25,16,2018-05-23,2019-09-06,295,0.008492569002123142,24,Female,Employee,10001 to 25000,4
216,2,533,266.5,2,2018-10-17,2019-06-07,386,0.008583690987124463,32,Male,Self Employeed,10001 to 25000,3
218,3,61889,20629.666666666668,25,2018-01-25,2019-09-18,283,0.004991680532445923,26,Male,Employee,10001 to 25000,2
219,4,2944,736.0,6,2017-12-08,2020-05-13,45,0.004509582863585118,31,Female,House wife,No Income,5
220,3,107246,35748.666666666664,136,2017-12-08,2019-11-15,225,0.004243281471004243,27,Female,Self Employeed,25001 to 50000,3
221,2,1388,694.0,2,2018-11-05,2019-10-15,256,0.005813953488372093,21,Female,Student,No Income,1
223,1,1593,1593.0,5,2018-04-10,2018-04-10,809,1.0,26,Male,Employee,10001 to 25000,4
225,3,7129,2376.3333333333335,6,2018-03-08,2019-08-23,309,0.005628517823639775,25,Female,Student,No Income,2
226,1,8704,8704.0,3,2018-10-09,2018-10-09,627,1.0,28,Male,Self Employeed,10001 to 25000,2
227,2,47305,23652.5,43,2018-12-05,2020-04-01,87,0.004140786749482402,21,Female,Student,No Income,3
228,2,458,229.0,2,2017-10-11,2017-11-07,963,0.07407407407407407,24,Male,Student,No Income,2
229,3,3338,1112.6666666666667,10,2017-11-09,2019-05-15,409,0.005434782608695652,26,Female,Self Employeed,10001 to 25000,5
230,1,2190,2190.0,13,2018-11-23,2018-11-23,582,1.0,32,Male,Employee,25001 to 50000,3
231,3,4374,1458.0,18,2018-02-16,2020-01-02,177,0.004379562043795621,29,Male,Self Employeed,More than 50000,6
232,1,144,144.0,1,2018-01-30,2018-01-30,879,1.0,21,Male,Student,No Income,5
233,2,6037,3018.5,11,2017-11-09,2018-06-06,752,0.009569377990430622,24,Female,Self Employeed,25001 to 50000,3
235,3,8671,2890.3333333333335,21,2018-09-03,2020-02-19,129,0.0056179775280898875,25,Male,Employee,More than 50000,3
237,2,11393,5696.5,25,2018-09-04,2018-10-01,635,0.07407407407407407,22,Male,Student,No Income,3
239,2,745,372.5,2,2019-07-15,2020-01-02,177,0.011695906432748537,27,Male,Employee,25001 to 50000,2
240,2,9060,4530.0,33,2019-01-22,2020-05-27,31,0.004073319755600814,23,Female,Student,No Income,3
241,1,1542,1542.0,2,2018-10-30,2018-10-30,606,1.0,32,Male,Employee,More than 50000,6
242,2,190,95.0,2,2017-10-31,2017-11-24,946,0.08333333333333333,22,Female,Student,No Income,2
243,3,12394,4131.333333333333,21,2018-11-12,2019-08-20,312,0.010676156583629894,28,Male,Employee,25001 to 50000,3
245,1,130,130.0,1,2018-06-13,2018-06-13,745,1.0,30,Male,Self Employeed,More than 50000,1
246,1,773,773.0,1,2019-02-01,2019-02-01,512,1.0,21,Male,Student,No Income,3
247,3,55588,18529.333333333332,141,2017-10-05,2020-02-28,120,0.003424657534246575,26,Female,Employee,Below Rs.10000,6
248,1,699,699.0,1,2018-12-04,2018-12-04,571,1.0,25,Male,Self Employeed,More than 50000,3
249,2,194,97.0,2,2018-02-08,2018-09-26,640,0.008695652173913044,31,Male,Employee,Below Rs.10000,1
250,2,588,294.0,6,2018-09-07,2019-05-15,409,0.008,23,Female,Employee,25001 to 50000,2
251,2,356,178.0,2,2019-04-30,2020-01-13,166,0.007751937984496124,29,Female,Employee,25001 to 50000,3
252,2,329,164.5,2,2018-06-19,2020-02-12,136,0.003316749585406302,21,Male,Student,No Income,6
253,3,856,285.3333333333333,3,2018-10-16,2020-02-12,136,0.006198347107438017,20,Male,Student,No Income,3
254,1,28269,28269.0,13,2018-11-20,2018-11-20,585,1.0,22,Male,Employee,10001 to 25000,2
256,1,14574,14574.0,40,2018-05-16,2018-05-16,773,1.0,27,Male,Self Employeed,More than 50000,3
257,2,444,222.0,2,2017-10-16,2020-05-15,43,0.0021231422505307855,23,Male,Student,No Income,2
258,2,16102,8051.0,28,2019-05-08,2019-05-10,414,1.0,30,Male,Self Employeed,25001 to 50000,6
259,1,1736,1736.0,37,2017-12-11,2017-12-11,929,1.0,23,Male,Student,No Income,3
260,5,38736,7747.2,24,2019-02-11,2020-02-03,145,0.014005602240896359,28,Female,Employee,25001 to 50000,6
261,2,12755,6377.5,22,2018-10-25,2019-02-06,507,0.019230769230769232,30,Male,Self Employeed,More than 50000,6
262,1,97,97.0,1,2019-04-04,2019-04-04,450,1.0,24,Female,Employee,25001 to 50000,2
263,3,3644,1214.6666666666667,18,2018-02-16,2019-02-07,506,0.008426966292134831,21,Male,Student,No Income,2
264,1,171,171.0,1,2019-02-06,2019-02-06,507,1.0,23,Female,Employee,10001 to 25000,3
265,1,9542,9542.0,35,2017-12-21,2017-12-21,919,1.0,25,Male,Self Employeed,More than 50000,4
266,2,2005,1002.5,8,2018-08-09,2020-03-12,107,0.0034423407917383822,24,Female,Employee,25001 to 50000,2
267,4,3963,990.75,15,2017-12-07,2020-02-21,127,0.004962779156327543,26,Male,Employee,10001 to 25000,3
269,3,2991,997.0,21,2018-04-16,2019-05-29,395,0.007352941176470588,22,Male,Student,25001 to 50000,3
272,1,444,444.0,2,2019-12-19,2019-12-19,191,1.0,21,Female,Employee,Below Rs.10000,2
273,3,6672,2224.0,22,2018-12-12,2019-08-14,318,0.012244897959183673,25,Male,Self Employeed,25001 to 50000,3
278,2,129644,64822.0,121,2017-12-12,2020-04-06,82,0.002364066193853428,22,Female,Student,No Income,2
279,3,23120,7706.666666666667,82,2018-02-07,2019-03-06,479,0.007653061224489796,30,Male,Employee,More than 50000,5
280,1,449,449.0,2,2017-11-28,2017-11-28,942,1.0,23,Female,Employee,10001 to 25000,4
281,2,736,368.0,2,2018-04-06,2019-02-07,506,0.006514657980456026,19,Male,Student,No Income,6
282,3,21700,7233.333333333333,220,2018-05-21,2018-11-29,576,0.015625,21,Female,Student,No Income,2
285,2,1884,942.0,9,2017-12-22,2018-04-06,813,0.01904761904761905,26,Female,Employee,10001 to 25000,2
286,1,93,93.0,1,2019-06-03,2019-06-03,390,1.0,26,Female,Student,No Income,2
287,1,144,144.0,1,2018-06-09,2018-06-09,749,1.0,25,Female,Student,10001 to 25000,2
288,3,21666,7222.0,26,2018-03-19,2018-12-05,570,0.011494252873563218,28,Female,Employee,25001 to 50000,5
289,1,148,148.0,1,2018-02-16,2018-02-16,862,1.0,25,Female,Student,No Income,3
291,2,1676,838.0,2,2018-02-07,2020-02-21,127,0.002688172043010753,27,Female,Self Employeed,More than 50000,6
292,1,162,162.0,1,2019-09-25,2019-09-25,276,1.0,25,Female,Employee,25001 to 50000,3
293,1,231,231.0,1,2020-05-12,2020-05-12,46,1.0,24,Female,Student,No Income,5
295,6,2037,339.5,8,2017-10-19,2020-02-05,143,0.007151370679380214,25,Female,Employee,25001 to 50000,3
297,4,34162,8540.5,26,2018-12-21,2020-05-06,52,0.00796812749003984,24,Male,Student,No Income,3
298,1,4417,4417.0,7,2019-07-29,2019-07-29,334,1.0,22,Male,Employee,10001 to 25000,1
301,2,533,266.5,2,2018-09-03,2020-01-27,152,0.003913894324853229,22,Male,Student,Below Rs.10000,3
302,1,14787,14787.0,310,2019-03-14,2019-03-14,471,1.0,22,Female,Student,No Income,6
303,1,194,194.0,1,2018-01-19,2018-01-19,890,1.0,22,Male,Student,Below Rs.10000,4
305,1,12185,12185.0,17,2017-12-06,2017-12-06,934,1.0,22,Male,Student,No Income,3
306,1,4259,4259.0,32,2019-07-16,2019-07-16,347,1.0,24,Female,Student,No Income,3
308,2,2695,1347.5,7,2017-12-07,2019-06-24,369,0.0035460992907801418,23,Female,Student,No Income,4
309,2,13713,6856.5,42,2018-01-05,2019-05-17,407,0.004024144869215292,22,Female,Student,No Income,5
310,3,6379,2126.3333333333335,44,2018-07-06,2019-03-22,463,0.011583011583011582,23,Male,Student,Below Rs.10000,2
311,1,282,282.0,2,2018-01-08,2018-01-08,901,1.0,32,Male,Employee,More than 50000,5
312,1,287,287.0,2,2018-09-04,2018-09-04,662,1.0,25,Female,Student,No Income,2
314,1,111,111.0,1,2018-08-20,2018-08-20,677,1.0,21,Female,Student,No Income,3
315,2,1584,792.0,3,2017-10-06,2020-01-10,169,0.002421307506053269,24,Male,Student,No Income,2
316,2,166,83.0,2,2018-12-21,2019-01-30,514,0.05,26,Female,Self Employeed,10001 to 25000,5
317,1,2380,2380.0,1,2020-01-10,2020-01-10,169,1.0,32,Male,Employee,25001 to 50000,3
318,1,472,472.0,1,2019-11-13,2019-11-13,227,1.0,29,Male,Self Employeed,More than 50000,6
319,2,115,57.5,2,2018-03-19,2020-04-06,82,0.0026702269692923898,21,Male,Student,No Income,5
320,1,2009,2009.0,4,2019-03-05,2019-03-05,480,1.0,24,Female,Self Employeed,25001 to 50000,3
322,3,10606,3535.3333333333335,41,2019-04-08,2020-02-26,122,0.009259259259259259,21,Male,Employee,More than 50000,3
323,1,97,97.0,1,2018-04-03,2018-04-03,816,1.0,29,Male,Employee,25001 to 50000,3
324,2,727,363.5,4,2019-02-20,2020-01-16,163,0.006060606060606061,22,Male,Student,No Income,3
325,2,195,97.5,2,2019-02-26,2019-07-01,362,0.016,24,Male,Student,No Income,2
326,1,116,116.0,1,2017-11-15,2017-11-15,955,1.0,27,Male,Employee,25001 to 50000,2
327,1,1102,1102.0,2,2018-05-28,2018-05-28,761,1.0,23,Female,Student,No Income,3
328,2,398,199.0,2,2018-10-26,2019-10-25,246,0.005494505494505495,32,Male,Employee,More than 50000,6
329,4,4968,1242.0,11,2018-09-20,2020-06-15,12,0.006309148264984227,22,Female,Student,No Income,2
330,1,199,199.0,1,2018-12-21,2018-12-21,554,1.0,22,Female,Employee,25001 to 50000,4
331,2,1046,523.0,2,2017-10-18,2019-09-14,287,0.0028735632183908046,26,Male,Employee,More than 50000,4
332,1,4352,4352.0,2,2018-09-11,2018-09-11,655,1.0,25,Female,Student,No Income,3
333,3,8375,2791.6666666666665,8,2018-06-22,2019-11-29,211,0.005714285714285714,20,Male,Student,No Income,2
334,1,319,319.0,1,2019-12-23,2019-12-23,187,1.0,29,Male,Employee,25001 to 50000,4
