user_id,total_orders,total_spending,avg_order_value,total_items,first_order_date,last_order_date,recency_days,order_frequency,age,gender,occupation,monthly_income,family_size,segment
20,3,4301,1433.6666666666667,11,2017-12-01,2019-10-30,241,0.0042979942693409,21,Female,Student,Below Rs.10000,1,High-value
21,2,403,201.5,2,2019-01-11,2019-10-07,264,0.0074349442379182,24,Male,Student,No Income,3,Regular
22,2,62700,31350.0,89,2017-11-15,2019-06-21,372,0.0034305317324185,22,Male,Student,No Income,4,High-value
23,1,384,384.0,1,2018-11-07,2018-11-07,598,1.0,22,Female,Student,No Income,4,At-risk
25,1,11120,11120.0,43,2019-09-05,2019-09-05,296,1.0,21,Male,Student,Below Rs.10000,3,Occasional
26,1,6940,6940.0,8,2018-04-04,2018-04-04,815,1.0,25,Male,Student,No Income,3,Occasional
28,2,695,347.5,3,2019-08-05,2020-02-10,138,0.0105820105820105,22,Male,Student,No Income,3,Regular
29,2,1704,852.0,7,2019-06-27,2019-08-20,312,0.037037037037037,23,Female,Employee,10001 to 25000,3,Regular
30,3,4374,1458.0,18,2017-12-19,2019-09-09,292,0.0047694753577106,22,Male,Student,Below Rs.10000,4,High-value
31,3,982,327.3333333333333,6,2018-07-16,2019-09-13,288,0.0070754716981132,22,Female,Employee,10001 to 25000,5,Regular
32,1,894,894.0,1,2020-04-24,2020-04-24,64,1.0,22,Male,Student,No Income,4,At-risk
36,3,602898,200966.0,435,2018-01-24,2019-08-15,317,0.005281690140845,25,Male,Student,10001 to 25000,3,High-value
37,3,13194,4398.0,15,2018-03-06,2019-08-06,326,0.0057915057915057,25,Male,Student,No Income,5,High-value
38,1,46,46.0,1,2020-04-16,2020-04-16,72,1.0,32,Female,House wife,No Income,5,At-risk
39,3,5713,1904.3333333333333,29,2017-10-09,2018-04-20,799,0.0155440414507772,23,Female,Student,No Income,3,High-value
41,2,104343,52171.5,38,2018-03-09,2019-07-03,360,0.0041580041580041,30,Male,Self Employeed,More than 50000,4,High-value
45,1,162,162.0,1,2017-11-27,2017-11-27,943,1.0,22,Male,Student,No Income,5,At-risk
47,1,7343,7343.0,154,2018-11-08,2018-11-08,597,1.0,24,Female,Student,No Income,3,Occasional
48,1,9380,9380.0,37,2019-08-06,2019-08-06,326,1.0,23,Male,Student,No Income,2,Occasional
49,1,171,171.0,1,2018-01-18,2018-01-18,891,1.0,23,Female,Student,No Income,3,At-risk
51,3,4926,1642.0,9,2019-01-02,2020-01-20,159,0.0078328981723237,23,Female,Student,No Income,5,High-value
52,1,6310,6310.0,7,2018-03-21,2018-03-21,829,1.0,23,Female,Student,No Income,2,Occasional
56,1,130,130.0,1,2017-10-12,2017-10-12,989,1.0,28,Female,Student,No Income,2,At-risk
57,1,162,162.0,1,2018-01-29,2018-01-29,880,1.0,22,Female,Student,No Income,1,At-risk
58,2,412,206.0,2,2018-09-10,2020-04-14,74,0.0034364261168384,24,Female,Student,No Income,3,Regular
59,3,4333,1444.3333333333333,45,2018-08-13,2020-06-10,17,0.0044977511244377,31,Male,Employee,More than 50000,5,High-value
60,1,2671,2671.0,2,2020-01-09,2020-01-09,170,1.0,25,Male,Student,No Income,4,Occasional
61,2,208,104.0,2,2018-06-18,2019-03-19,466,0.0072992700729927,23,Male,Student,No Income,5,Regular
62,1,185,185.0,1,2017-10-06,2017-10-06,995,1.0,22,Male,Student,No Income,3,At-risk
63,2,135,67.5,2,2018-07-27,2019-07-08,355,0.0057803468208092,23,Male,Student,25001 to 50000,1,Regular
66,2,16278,8139.0,15,2018-01-15,2018-07-12,716,0.0112359550561797,25,Male,Student,No Income,6,High-value
67,2,847,423.5,2,2019-02-05,2020-01-22,157,0.0056980056980056,24,Male,Employee,10001 to 25000,4,Regular
68,3,8500,2833.333333333333,9,2018-02-27,2019-01-10,534,0.0094637223974763,23,Female,Student,No Income,4,High-value
69,1,116,116.0,1,2019-12-06,2019-12-06,204,1.0,23,Female,Student,No Income,4,At-risk
70,2,85070,42535.0,67,2017-10-17,2019-04-03,451,0.0037523452157598,24,Female,Employee,More than 50000,4,High-value
71,1,588,588.0,1,2019-08-07,2019-08-07,325,1.0,22,Male,Student,No Income,4,At-risk
72,1,431,431.0,1,2018-10-22,2018-10-22,614,1.0,24,Female,Student,10001 to 25000,3,At-risk
73,1,287,287.0,1,2020-04-09,2020-04-09,79,1.0,25,Female,Student,No Income,3,At-risk
75,1,1292,1292.0,5,2018-01-24,2018-01-24,885,1.0,26,Male,Student,No Income,4,Occasional
76,1,1468,1468.0,1,2018-05-09,2018-05-09,780,1.0,24,Female,Student,25001 to 50000,3,Occasional
77,1,4454,4454.0,2,2017-11-13,2017-11-13,957,1.0,26,Male,Student,No Income,4,Occasional
79,4,13060,3265.0,13,2017-12-11,2019-10-15,256,0.0059435364041604,22,Female,Student,No Income,3,High-value
80,2,565,282.5,2,2018-11-06,2018-12-05,570,0.0689655172413793,24,Male,Student,No Income,5,Regular
82,3,21453,7151.0,269,2018-02-27,2020-03-10,109,0.0040431266846361,23,Female,Student,No Income,3,High-value
83,2,343,171.5,2,2018-07-18,2019-07-05,358,0.0056818181818181,23,Male,Student,No Income,3,Regular
84,2,547,273.5,2,2018-04-12,2020-05-20,38,0.0026007802340702,22,Male,Student,No Income,3,Regular
85,3,366,122.0,3,2018-06-07,2019-07-03,360,0.0076726342710997,23,Male,Student,No Income,3,Regular
87,4,3333,833.25,76,2017-12-20,2019-06-06,387,0.0075046904315197,24,Male,Student,No Income,5,Regular
89,2,8537,4268.5,47,2019-11-07,2020-06-12,15,0.0091743119266055,25,Male,Student,No Income,5,High-value
90,2,44385,22192.5,22,2017-11-24,2017-12-14,926,0.1,28,Male,Self Employeed,10001 to 25000,2,High-value
91,2,5732,2866.0,11,2018-04-16,2019-11-19,221,0.0034364261168384,27,Female,Employee,25001 to 50000,5,High-value
92,1,162,162.0,1,2018-06-19,2018-06-19,739,1.0,26,Male,Self Employeed,10001 to 25000,1,At-risk
93,3,35287,11762.333333333334,42,2017-11-08,2018-11-05,600,0.0082872928176795,22,Male,Student,No Income,2,High-value
94,2,328,164.0,2,2017-11-03,2019-03-02,483,0.0041322314049586,24,Female,Student,No Income,3,Regular
97,4,102227,25556.75,55,2017-11-28,2019-10-25,246,0.0057471264367816,23,Female,Student,No Income,5,High-value
98,1,745,745.0,1,2020-05-05,2020-05-05,53,1.0,23,Female,Student,No Income,5,At-risk
99,2,1885,942.5,5,2017-10-20,2018-06-12,746,0.0085106382978723,26,Male,Employee,25001 to 50000,5,Regular
101,3,4704,1568.0,7,2017-12-01,2020-04-27,61,0.0034168564920273,24,Female,Student,10001 to 25000,3,High-value
102,3,5380,1793.3333333333333,21,2017-10-23,2018-10-08,628,0.0085714285714285,23,Male,Student,No Income,2,High-value
103,2,107,53.5,2,2018-04-11,2018-10-10,626,0.0109890109890109,22,Female,Employee,10001 to 25000,3,Regular
104,3,67653,22551.0,491,2018-07-13,2019-08-16,316,0.0075187969924812,24,Female,Student,No Income,3,High-value
107,1,227,227.0,1,2018-09-17,2018-09-17,649,1.0,26,Male,Employee,More than 50000,2,At-risk
109,1,292,292.0,3,2019-11-11,2019-11-11,229,1.0,25,Male,Employee,Below Rs.10000,2,At-risk
110,5,9149,1829.8,164,2017-11-16,2019-05-07,417,0.0093109869646182,18,Male,Student,No Income,5,High-value
111,1,176,176.0,1,2018-07-06,2018-07-06,722,1.0,21,Male,Student,No Income,4,At-risk
112,1,292,292.0,1,2018-12-19,2018-12-19,556,1.0,25,Male,Student,No Income,1,At-risk
113,2,10546,5273.0,25,2018-03-28,2019-07-03,360,0.0043290043290043,25,Male,Student,Below Rs.10000,2,High-value
115,1,782,782.0,1,2019-03-29,2019-03-29,456,1.0,23,Male,Employee,10001 to 25000,2,At-risk
116,1,29356,29356.0,20,2018-06-08,2018-06-08,750,1.0,25,Female,Employee,25001 to 50000,4,Occasional
117,1,69,69.0,1,2018-12-20,2018-12-20,555,1.0,31,Female,House wife,No Income,5,At-risk
118,1,222,222.0,1,2018-10-23,2018-10-23,613,1.0,24,Male,Self Employeed,More than 50000,2,At-risk
119,2,104472,52236.0,295,2018-01-15,2019-11-07,233,0.0030257186081694,32,Female,Employee,25001 to 50000,5,High-value
122,4,1028,257.0,4,2017-12-22,2020-05-05,53,0.0046242774566473,26,Male,Self Employeed,25001 to 50000,3,Regular
123,3,7380,2460.0,24,2018-02-21,2020-04-17,71,0.0038167938931297,26,Female,Self Employeed,25001 to 50000,3,High-value
124,1,296,296.0,2,2018-09-18,2018-09-18,648,1.0,32,Male,Employee,More than 50000,5,At-risk
125,1,1130,1130.0,3,2018-06-13,2018-06-13,745,1.0,24,Male,Self Employeed,More than 50000,6,At-risk
126,3,74001,24667.0,79,2017-11-27,2018-10-16,620,0.0092879256965944,27,Female,Self Employeed,25001 to 50000,3,High-value
127,2,505,252.5,2,2018-08-01,2020-05-19,39,0.0030441400304414,23,Male,Student,No Income,3,Regular
128,2,6861,3430.5,4,2019-06-07,2019-06-13,380,0.3333333333333333,25,Male,Student,No Income,4,High-value
129,3,2681,893.6666666666666,4,2018-02-14,2020-05-06,52,0.0036945812807881,23,Male,Student,No Income,3,Regular
130,4,1763,440.75,6,2017-11-17,2018-12-14,561,0.010204081632653,23,Female,Student,No Income,4,Regular
131,3,36249,12083.0,35,2018-02-08,2019-12-13,197,0.0044576523031203,28,Male,Employee,More than 50000,3,High-value
132,2,333,166.5,2,2018-02-14,2019-12-06,204,0.003030303030303,32,Female,Employee,More than 50000,1,Regular
133,1,56,56.0,1,2018-11-30,2018-11-30,575,1.0,23,Male,Student,No Income,2,At-risk
134,1,1264,1264.0,7,2018-01-30,2018-01-30,879,1.0,19,Male,Student,No Income,2,At-risk
135,1,667,667.0,1,2019-04-12,2019-04-12,442,1.0,19,Female,Student,No Income,4,At-risk
136,1,74,74.0,1,2018-03-08,2018-03-08,842,1.0,27,Female,Employee,25001 to 50000,2,At-risk
137,2,2176,1088.0,4,2018-06-15,2020-01-16,163,0.0034482758620689,25,Male,Self Employeed,25001 to 50000,3,Regular
139,2,1213,606.5,2,2018-05-25,2020-02-04,144,0.0032258064516129,26,Female,Employee,More than 50000,3,Regular
140,1,10231,10231.0,113,2018-02-15,2018-02-15,863,1.0,22,Female,Student,Below Rs.10000,4,Occasional
141,2,283,141.5,2,2017-10-30,2018-05-30,759,0.0094339622641509,23,Male,Student,No Income,3,Regular
142,2,352,176.0,2,2017-11-21,2018-06-13,745,0.0098039215686274,22,Female,Student,No Income,3,Regular
143,3,4287,1429.0,16,2018-01-15,2020-02-21,127,0.0039113428943937,25,Male,Employee,25001 to 50000,2,High-value
144,2,1277,638.5,3,2019-06-21,2020-04-03,85,0.0069686411149825,30,Female,House wife,No Income,5,Regular
145,2,35699,17849.5,28,2019-12-19,2020-03-17,102,0.0224719101123595,24,Male,Student,No Income,3,High-value
147,1,34611,34611.0,40,2019-03-21,2019-03-21,464,1.0,23,Male,Student,More than 50000,3,Occasional
148,1,102,102.0,1,2019-01-25,2019-01-25,519,1.0,24,Female,Student,No Income,4,At-risk
149,3,8611,2870.333333333333,21,2019-03-22,2019-12-16,194,0.0111524163568773,32,Male,Employee,10001 to 25000,4,High-value
150,1,17602,17602.0,7,2019-01-30,2019-01-30,514,1.0,22,Male,Student,No Income,4,Occasional
152,1,500,500.0,1,2018-06-13,2018-06-13,745,1.0,23,Female,Student,No Income,4,At-risk
154,2,54541,27270.5,54,2019-10-25,2020-04-24,64,0.0109890109890109,21,Male,Student,No Income,2,High-value
155,2,19643,9821.5,14,2019-02-13,2019-12-30,180,0.00625,24,Female,Self Employeed,10001 to 25000,5,High-value
156,3,1532,510.6666666666667,10,2018-03-19,2018-09-14,652,0.0167597765363128,23,Female,Student,No Income,4,Regular
157,2,46245,23122.5,155,2018-11-13,2019-11-13,227,0.0054794520547945,25,Male,Employee,25001 to 50000,3,High-value
158,1,352,352.0,2,2019-08-19,2019-08-19,313,1.0,32,Female,House wife,No Income,3,At-risk
159,3,12301,4100.333333333333,12,2018-09-28,2019-04-05,449,0.0158730158730158,27,Male,Employee,More than 50000,5,High-value
160,1,829,829.0,1,2018-11-13,2018-11-13,592,1.0,20,Female,Student,No Income,2,At-risk
161,2,620,310.0,2,2018-11-16,2019-11-19,221,0.0054347826086956,21,Male,Student,No Income,2,Regular
162,1,181,181.0,1,2019-05-21,2019-05-21,403,1.0,26,Male,Employee,More than 50000,3,At-risk
163,2,1861,930.5,3,2018-01-23,2019-11-15,225,0.0030257186081694,25,Male,Employee,10001 to 25000,4,Regular
164,1,1861,1861.0,12,2019-08-01,2019-08-01,331,1.0,26,Male,Employee,25001 to 50000,3,Occasional
165,2,607,303.5,2,2017-12-08,2017-12-22,918,0.1428571428571428,26,Female,Employee,25001 to 50000,3,Regular
166,3,5736,1912.0,23,2018-03-20,2019-02-14,499,0.0090634441087613,27,Male,Employee,More than 50000,4,High-value
167,2,857,428.5,2,2018-03-02,2018-12-04,571,0.0072202166064981,27,Female,Student,No Income,5,Regular
168,2,12740,6370.0,6,2018-09-05,2020-06-02,25,0.0031446540880503,24,Female,Student,No Income,5,High-value
169,4,1583,395.75,4,2017-12-04,2019-12-05,205,0.0054719562243502,25,Male,Self Employeed,More than 50000,2,Regular
170,3,3860,1286.6666666666667,38,2018-06-19,2019-08-19,313,0.0070422535211267,20,Male,Student,No Income,2,Regular
172,2,694,347.0,3,2018-12-07,2019-02-13,500,0.0294117647058823,26,Female,Student,Below Rs.10000,3,Regular
175,7,66380,9482.857142857143,302,2018-11-14,2020-01-10,169,0.0165876777251184,24,Male,Employee,Below Rs.10000,2,High-value
176,2,8232,4116.0,20,2018-02-21,2020-05-04,54,0.0024906600249066,23,Female,Employee,10001 to 25000,6,High-value
178,2,477,238.5,2,2020-06-03,2020-06-08,19,0.4,26,Male,Self Employeed,More than 50000,3,Regular
179,1,218,218.0,1,2018-06-21,2018-06-21,737,1.0,26,Male,Employee,Below Rs.10000,1,At-risk
180,1,6130,6130.0,39,2018-05-08,2018-05-08,781,1.0,25,Female,Self Employeed,25001 to 50000,3,Occasional
181,3,413652,137884.0,276,2018-11-16,2020-04-14,74,0.0058252427184466,29,Female,Employee,More than 50000,3,High-value
182,1,13889,13889.0,40,2019-12-06,2019-12-06,204,1.0,23,Male,Student,Below Rs.10000,3,Occasional
183,1,69,69.0,1,2018-12-07,2018-12-07,568,1.0,22,Female,Employee,25001 to 50000,4,At-risk
184,3,6528,2176.0,13,2017-12-20,2019-11-27,213,0.0042432814710042,22,Male,Student,No Income,2,High-value
185,1,69,69.0,1,2017-11-09,2017-11-09,961,1.0,32,Female,House wife,No Income,5,At-risk
186,2,1889,944.5,22,2019-09-27,2019-11-25,215,0.0338983050847457,28,Male,Employee,More than 50000,1,Regular
188,2,13158,6579.0,31,2018-03-20,2018-08-08,689,0.0141843971631205,25,Male,Employee,10001 to 25000,2,High-value
189,3,458,152.66666666666666,6,2017-12-21,2019-12-18,192,0.0041265474552957,26,Female,Employee,25001 to 50000,2,Regular
190,1,1875,1875.0,2,2020-04-08,2020-04-08,80,1.0,31,Male,Self Employeed,More than 50000,6,Occasional
191,2,7708,3854.0,46,2017-10-13,2018-09-27,639,0.0057306590257879,24,Male,Student,No Income,3,High-value
192,2,40093,20046.5,187,2018-05-14,2018-05-18,771,0.5,24,Male,Employee,25001 to 50000,2,Occasional
193,3,11459,3819.6666666666665,89,2019-05-22,2020-03-02,117,0.0105263157894736,31,Female,Employee,More than 50000,5,High-value
195,4,1426,356.5,5,2018-01-24,2019-04-11,443,0.0090497737556561,24,Female,Self Employeed,More than 50000,2,Regular
196,1,556,556.0,1,2017-12-19,2017-12-19,921,1.0,22,Female,Student,No Income,3,At-risk
199,1,222,222.0,1,2018-03-19,2018-03-19,831,1.0,23,Female,House wife,No Income,6,At-risk
200,1,153,153.0,1,2017-12-13,2017-12-13,927,1.0,23,Female,Student,No Income,2,At-risk
201,1,28269,28269.0,13,2019-11-15,2019-11-15,225,1.0,23,Male,Student,No Income,2,Occasional
202,2,3102,1551.0,6,2018-03-13,2019-01-14,530,0.006514657980456,24,Male,Student,No Income,5,Regular
203,2,1032,516.0,4,2019-03-21,2020-02-07,141,0.0061919504643962,22,Female,Employee,25001 to 50000,4,Regular
204,1,181,181.0,1,2020-03-12,2020-03-12,107,1.0,26,Male,Employee,More than 50000,4,At-risk
206,1,222,222.0,1,2018-08-30,2018-08-30,667,1.0,20,Male,Student,No Income,2,At-risk
207,1,60,60.0,1,2018-01-01,2018-01-01,908,1.0,29,Male,Employee,25001 to 50000,4,At-risk
208,3,866,288.6666666666667,8,2017-12-01,2019-06-07,386,0.0054249547920434,23,Female,Student,No Income,1,Regular
209,2,547,273.5,5,2018-09-18,2019-08-19,313,0.0059701492537313,25,Male,Self Employeed,More than 50000,2,Regular
210,1,7759,7759.0,42,2020-02-24,2020-02-24,124,1.0,29,Female,Employee,25001 to 50000,4,Occasional
212,2,11556,5778.0,49,2018-08-10,2019-05-21,403,0.0070422535211267,25,Male,Self Employeed,10001 to 25000,3,High-value
213,1,199,199.0,1,2018-09-27,2018-09-27,639,1.0,21,Male,Student,No Income,2,At-risk
214,4,4676,1169.0,20,2018-03-09,2019-11-27,213,0.0063694267515923,23,Male,Student,No Income,3,High-value
215,4,41921,10480.25,16,2018-05-23,2019-09-06,295,0.0084925690021231,24,Female,Employee,10001 to 25000,4,High-value
216,2,533,266.5,2,2018-10-17,2019-06-07,386,0.0085836909871244,32,Male,Self Employeed,10001 to 25000,3,Regular
218,3,61889,20629.666666666668,25,2018-01-25,2019-09-18,283,0.0049916805324459,26,Male,Employee,10001 to 25000,2,High-value
219,4,2944,736.0,6,2017-12-08,2020-05-13,45,0.0045095828635851,31,Female,House wife,No Income,5,Regular
220,3,107246,35748.666666666664,136,2017-12-08,2019-11-15,225,0.0042432814710042,27,Female,Self Employeed,25001 to 50000,3,High-value
221,2,1388,694.0,2,2018-11-05,2019-10-15,256,0.005813953488372,21,Female,Student,No Income,1,Regular
223,1,1593,1593.0,5,2018-04-10,2018-04-10,809,1.0,26,Male,Employee,10001 to 25000,4,Occasional
225,3,7129,2376.333333333333,6,2018-03-08,2019-08-23,309,0.0056285178236397,25,Female,Student,No Income,2,High-value
226,1,8704,8704.0,3,2018-10-09,2018-10-09,627,1.0,28,Male,Self Employeed,10001 to 25000,2,Occasional
227,2,47305,23652.5,43,2018-12-05,2020-04-01,87,0.0041407867494824,21,Female,Student,No Income,3,High-value
228,2,458,229.0,2,2017-10-11,2017-11-07,963,0.074074074074074,24,Male,Student,No Income,2,Regular
229,3,3338,1112.6666666666667,10,2017-11-09,2019-05-15,409,0.0054347826086956,26,Female,Self Employeed,10001 to 25000,5,Regular
230,1,2190,2190.0,13,2018-11-23,2018-11-23,582,1.0,32,Male,Employee,25001 to 50000,3,Occasional
231,3,4374,1458.0,18,2018-02-16,2020-01-02,177,0.0043795620437956,29,Male,Self Employeed,More than 50000,6,High-value
232,1,144,144.0,1,2018-01-30,2018-01-30,879,1.0,21,Male,Student,No Income,5,At-risk
233,2,6037,3018.5,11,2017-11-09,2018-06-06,752,0.0095693779904306,24,Female,Self Employeed,25001 to 50000,3,High-value
235,3,8671,2890.333333333333,21,2018-09-03,2020-02-19,129,0.0056179775280898,25,Male,Employee,More than 50000,3,High-value
237,2,11393,5696.5,25,2018-09-04,2018-10-01,635,0.074074074074074,22,Male,Student,No Income,3,High-value
239,2,745,372.5,2,2019-07-15,2020-01-02,177,0.0116959064327485,27,Male,Employee,25001 to 50000,2,Regular
240,2,9060,4530.0,33,2019-01-22,2020-05-27,31,0.0040733197556008,23,Female,Student,No Income,3,High-value
241,1,1542,1542.0,2,2018-10-30,2018-10-30,606,1.0,32,Male,Employee,More than 50000,6,Occasional
242,2,190,95.0,2,2017-10-31,2017-11-24,946,0.0833333333333333,22,Female,Student,No Income,2,Regular
243,3,12394,4131.333333333333,21,2018-11-12,2019-08-20,312,0.0106761565836298,28,Male,Employee,25001 to 50000,3,High-value
245,1,130,130.0,1,2018-06-13,2018-06-13,745,1.0,30,Male,Self Employeed,More than 50000,1,At-risk
246,1,773,773.0,1,2019-02-01,2019-02-01,512,1.0,21,Male,Student,No Income,3,At-risk
247,3,55588,18529.33333333333,141,2017-10-05,2020-02-28,120,0.0034246575342465,26,Female,Employee,Below Rs.10000,6,High-value
248,1,699,699.0,1,2018-12-04,2018-12-04,571,1.0,25,Male,Self Employeed,More than 50000,3,At-risk
249,2,194,97.0,2,2018-02-08,2018-09-26,640,0.008695652173913,31,Male,Employee,Below Rs.10000,1,Regular
250,2,588,294.0,6,2018-09-07,2019-05-15,409,0.008,23,Female,Employee,25001 to 50000,2,Regular
251,2,356,178.0,2,2019-04-30,2020-01-13,166,0.0077519379844961,29,Female,Employee,25001 to 50000,3,Regular
252,2,329,164.5,2,2018-06-19,2020-02-12,136,0.0033167495854063,21,Male,Student,No Income,6,Regular
253,3,856,285.3333333333333,3,2018-10-16,2020-02-12,136,0.006198347107438,20,Male,Student,No Income,3,Regular
254,1,28269,28269.0,13,2018-11-20,2018-11-20,585,1.0,22,Male,Employee,10001 to 25000,2,Occasional
256,1,14574,14574.0,40,2018-05-16,2018-05-16,773,1.0,27,Male,Self Employeed,More than 50000,3,Occasional
257,2,444,222.0,2,2017-10-16,2020-05-15,43,0.0021231422505307,23,Male,Student,No Income,2,Regular
258,2,16102,8051.0,28,2019-05-08,2019-05-10,414,1.0,30,Male,Self Employeed,25001 to 50000,6,Occasional
259,1,1736,1736.0,37,2017-12-11,2017-12-11,929,1.0,23,Male,Student,No Income,3,Occasional
260,5,38736,7747.2,24,2019-02-11,2020-02-03,145,0.0140056022408963,28,Female,Employee,25001 to 50000,6,High-value
261,2,12755,6377.5,22,2018-10-25,2019-02-06,507,0.0192307692307692,30,Male,Self Employeed,More than 50000,6,High-value
262,1,97,97.0,1,2019-04-04,2019-04-04,450,1.0,24,Female,Employee,25001 to 50000,2,At-risk
263,3,3644,1214.6666666666667,18,2018-02-16,2019-02-07,506,0.0084269662921348,21,Male,Student,No Income,2,Regular
264,1,171,171.0,1,2019-02-06,2019-02-06,507,1.0,23,Female,Employee,10001 to 25000,3,At-risk
265,1,9542,9542.0,35,2017-12-21,2017-12-21,919,1.0,25,Male,Self Employeed,More than 50000,4,Occasional
266,2,2005,1002.5,8,2018-08-09,2020-03-12,107,0.0034423407917383,24,Female,Employee,25001 to 50000,2,Regular
267,4,3963,990.75,15,2017-12-07,2020-02-21,127,0.0049627791563275,26,Male,Employee,10001 to 25000,3,High-value
269,3,2991,997.0,21,2018-04-16,2019-05-29,395,0.0073529411764705,22,Male,Student,25001 to 50000,3,Regular
272,1,444,444.0,2,2019-12-19,2019-12-19,191,1.0,21,Female,Employee,Below Rs.10000,2,At-risk
273,3,6672,2224.0,22,2018-12-12,2019-08-14,318,0.0122448979591836,25,Male,Self Employeed,25001 to 50000,3,High-value
278,2,129644,64822.0,121,2017-12-12,2020-04-06,82,0.0023640661938534,22,Female,Student,No Income,2,High-value
279,3,23120,7706.666666666667,82,2018-02-07,2019-03-06,479,0.0076530612244897,30,Male,Employee,More than 50000,5,High-value
280,1,449,449.0,2,2017-11-28,2017-11-28,942,1.0,23,Female,Employee,10001 to 25000,4,At-risk
281,2,736,368.0,2,2018-04-06,2019-02-07,506,0.006514657980456,19,Male,Student,No Income,6,Regular
282,3,21700,7233.333333333333,220,2018-05-21,2018-11-29,576,0.015625,21,Female,Student,No Income,2,High-value
285,2,1884,942.0,9,2017-12-22,2018-04-06,813,0.019047619047619,26,Female,Employee,10001 to 25000,2,Regular
286,1,93,93.0,1,2019-06-03,2019-06-03,390,1.0,26,Female,Student,No Income,2,At-risk
287,1,144,144.0,1,2018-06-09,2018-06-09,749,1.0,25,Female,Student,10001 to 25000,2,At-risk
288,3,21666,7222.0,26,2018-03-19,2018-12-05,570,0.0114942528735632,28,Female,Employee,25001 to 50000,5,High-value
289,1,148,148.0,1,2018-02-16,2018-02-16,862,1.0,25,Female,Student,No Income,3,At-risk
291,2,1676,838.0,2,2018-02-07,2020-02-21,127,0.0026881720430107,27,Female,Self Employeed,More than 50000,6,Regular
292,1,162,162.0,1,2019-09-25,2019-09-25,276,1.0,25,Female,Employee,25001 to 50000,3,At-risk
293,1,231,231.0,1,2020-05-12,2020-05-12,46,1.0,24,Female,Student,No Income,5,At-risk
295,6,2037,339.5,8,2017-10-19,2020-02-05,143,0.0071513706793802,25,Female,Employee,25001 to 50000,3,Regular
297,4,34162,8540.5,26,2018-12-21,2020-05-06,52,0.0079681274900398,24,Male,Student,No Income,3,High-value
298,1,4417,4417.0,7,2019-07-29,2019-07-29,334,1.0,22,Male,Employee,10001 to 25000,1,Occasional
301,2,533,266.5,2,2018-09-03,2020-01-27,152,0.0039138943248532,22,Male,Student,Below Rs.10000,3,Regular
302,1,14787,14787.0,310,2019-03-14,2019-03-14,471,1.0,22,Female,Student,No Income,6,Occasional
303,1,194,194.0,1,2018-01-19,2018-01-19,890,1.0,22,Male,Student,Below Rs.10000,4,At-risk
305,1,12185,12185.0,17,2017-12-06,2017-12-06,934,1.0,22,Male,Student,No Income,3,Occasional
306,1,4259,4259.0,32,2019-07-16,2019-07-16,347,1.0,24,Female,Student,No Income,3,Occasional
308,2,2695,1347.5,7,2017-12-07,2019-06-24,369,0.0035460992907801,23,Female,Student,No Income,4,Regular
309,2,13713,6856.5,42,2018-01-05,2019-05-17,407,0.0040241448692152,22,Female,Student,No Income,5,High-value
310,3,6379,2126.333333333333,44,2018-07-06,2019-03-22,463,0.0115830115830115,23,Male,Student,Below Rs.10000,2,High-value
311,1,282,282.0,2,2018-01-08,2018-01-08,901,1.0,32,Male,Employee,More than 50000,5,At-risk
312,1,287,287.0,2,2018-09-04,2018-09-04,662,1.0,25,Female,Student,No Income,2,At-risk
